id,amount,location,time
155,3680.5,LA,19:02
156,9118.06,LA,14:49
157,3418.67,MUM,10:37
158,7186.35,NY,22:11
159,2790.17,PAR,07:31
160,996.164,MUM,13:08
161,6627.47,TX,03:14
162,6728.37,PAR,23:21
163,493.035,LON,09:09
164,5881.92,TX,05:31
165,6120.22,TX,12:07
166,5705.2,TOK,14:37
167,5355.87,PAR,19:19
168,8777.62,TOK,15:02
169,68.0458,TX,09:43
170,9761.91,TX,22:28
171,2064.2,TOK,17:01
172,6996.33,LON,03:32
173,2829.34,TX,05:02
174,4271.78,MUM,08:21
175,4001.34,LA,11:28
176,3582.43,LON,17:58
177,5853.92,NY,22:23
178,2046.64,NY,11:17
179,3362.83,PAR,23:53
180,3617.58,PAR,22:44
181,5457.37,LON,02:48
182,7593.61,CHI,22:59
183,251.224,LON,00:48
184,9934.39,TX,02:57
185,3389,TX,11:53
186,8718.29,TOK,10:38
187,2493.22,LA,23:59
188,6414.06,MUM,06:32
189,8910.42,TX,19:57
190,5810.98,MUM,03:44
191,7252.77,CHI,06:27
192,3225.93,TOK,06:41
193,1421.89,TOK,14:05
194,8675.28,TOK,12:35
195,2406.18,CHI,03:03
196,7697.09,NY,09:44
197,4125.45,NY,11:46
198,7121.19,NY,21:32
199,9527.68,MUM,11:39
200,1600.16,TOK,02:10
201,5794.98,PAR,13:40
202,7506.86,PAR,19:32
203,6572.84,LA,19:00
204,2113.26,LA,00:34
205,1170.92,TOK,15:07
206,9429.17,MUM,14:54
207,8401.55,CHI,04:16
208,9080.78,TX,18:14
209,4950.13,CHI,08:07
210,6221.45,TX,14:52
211,5043.9,LA,19:13
212,1165.48,NY,01:19
213,8942.52,LON,04:29
214,7922.11,MUM,23:37
215,6443,LA,06:44
216,426.867,MUM,04:38
217,1103.77,PAR,20:14
218,3947.56,TX,18:55
219,3704.69,CHI,20:23
220,9783.83,LON,17:24
221,7822.26,TOK,20:45
222,8145.32,LA,08:55
223,9095.08,LON,19:05
224,262.205,TOK,00:56
225,8160.29,LA,11:24
226,8564.86,MUM,13:44
227,8421.92,LON,00:59
228,3432.7,LA,02:41
229,8912.27,TX,00:28
230,5843.2,CHI,23:53
231,8229.99,PAR,16:32
232,7523.37,TOK,08:01
233,4036.59,TX,15:52
234,9045.21,LA,09:24
235,4460.31,TX,05:25
236,6424.13,CHI,19:27
237,4813.55,LON,06:46
238,3557.48,NY,14:21
239,2598.32,LON,00:29
240,4923.92,CHI,16:04
241,1977.74,LA,20:40
242,1517.96,TX,13:03
243,9943.7,TOK,10:34
244,8553.93,NY,03:04
245,2343.54,LA,20:44
246,390.824,LA,04:30
247,4638.12,NY,18:32
248,6194.12,TX,15:04
249,8232.66,CHI,14:18
250,9405.18,NY,15:19
251,7467.16,LA,05:20
252,8232.75,LA,07:39
253,5485.75,CHI,13:48
254,7174.59,PAR,02:07
255,9485.88,TOK,06:03
256,5768.34,LON,04:26
257,8947.1,CHI,15:31
258,7810.49,LON,17:36
259,9103.34,TOK,04:00
260,4023.39,MUM,17:17
261,7623.63,CHI,11:55
262,7240.63,LA,08:41
263,2851.26,PAR,04:59
264,2099.36,LA,05:36
265,4183,MUM,07:54
266,5015.19,NY,08:16
267,606.354,MUM,05:20
268,4716.06,MUM,20:00
269,2301.85,TX,10:14
270,1971.35,NY,02:49
271,4800.78,LON,16:19
272,4945.6,NY,00:54
273,1985.45,TX,16:44
274,7540.98,TX,00:19
275,353.451,PAR,07:05
276,4135.7,TX,21:17
277,3446.49,PAR,13:55
278,4393.17,NY,21:24
279,5447.32,PAR,08:58
280,2874.42,NY,12:03
281,2575.1,LON,00:37
282,6547.58,CHI,00:04
283,4564.69,MUM,12:06
284,4561.48,PAR,14:18
285,6253.63,TX,20:07
286,1977.39,NY,16:45
287,4752.32,TX,06:04
288,1911.18,NY,10:07
289,2654.92,LON,10:29
290,1656.85,TOK,21:26
291,3895.4,PAR,23:24
292,4590.97,PAR,05:59
293,1493,TX,02:53
294,5181.48,CHI,14:57
295,3675.53,TOK,17:28
296,763.678,MUM,18:04
297,239.709,NY,06:49
298,8637.99,CHI,16:00
299,5815.56,NY,09:03
300,5575.34,CHI,20:57
301,1823.58,LA,09:53
302,3045.86,LON,04:55
303,2045.19,LA,06:41
304,7257.48,CHI,14:16
305,860.138,LA,11:49
306,8394.46,LON,07:44
307,3554.56,LON,19:54
308,5000.78,LA,16:32
309,8009.47,MUM,10:28
310,3059.15,TOK,05:33
311,4310.47,PAR,08:51
312,7089.38,MUM,19:47
313,77.0828,LA,16:04
314,9930.94,MUM,19:24
315,1893.06,LON,16:13
316,4804.96,TOK,17:47
317,6250.31,MUM,07:24
318,4807.83,LA,03:48
319,668.374,PAR,14:25
320,5607.03,TX,19:43
321,1158.2,MUM,03:03
322,3329.38,LA,21:49
323,5927.08,TX,01:45
324,9993.89,TX,21:20
325,4274.12,LA,19:27
326,7106.67,TX,00:39
327,3365.39,NY,05:13
328,4422.69,LON,06:51
329,380.152,CHI,10:16
330,1110.54,PAR,15:52
331,359.903,TOK,17:25
332,1870.02,NY,02:03
333,3830.39,LON,23:30
334,3786.35,CHI,01:43
335,6130.25,TX,13:18
336,2856.06,TOK,20:20
337,6682.6,CHI,15:18
338,2412.57,TX,18:04
339,1263.74,MUM,17:51
340,9784.69,LON,03:05
341,3494.4,TX,12:49
342,7439.61,TOK,04:14
343,4518.48,MUM,06:45
344,4317.05,LA,06:03
345,7558.9,TOK,12:00
346,454.552,CHI,00:18
347,3185.41,MUM,20:59
348,4875.36,TOK,14:31
349,8354.11,PAR,23:18
350,8512.83,LON,10:18
351,8838.61,CHI,17:38
352,6821.69,MUM,02:19
353,1441.41,LON,12:07
354,9819.62,TX,00:33
355,8289.17,TOK,00:25
356,4422.97,MUM,04:32
357,2455.14,LON,17:06
358,1836.35,LA,16:00
359,5209.73,NY,14:12
360,9972.01,NY,22:11
361,5018.92,LON,10:10
362,2153.99,MUM,18:34
363,2204.26,NY,22:20
364,8041.25,CHI,17:02
365,704.987,LA,04:12
366,164.871,PAR,02:08
367,1847.68,MUM,20:01
368,2374.99,CHI,03:53
369,8445.8,NY,18:29
370,8657.81,TX,12:12
371,9257.18,LON,03:50
372,756.517,LA,21:08
373,6940.43,TOK,01:26
374,9472.34,TOK,09:13
375,7926.61,NY,22:37
376,5834.1,LON,09:13
377,1050.47,CHI,16:33
378,1930.54,LON,17:01
379,9294.49,PAR,22:40
380,8796.95,CHI,16:17
381,7858.51,MUM,02:59
382,1398.24,LON,03:16
383,4724.96,PAR,01:42
384,2100.18,MUM,15:07
385,3821.46,NY,21:17
386,3730.03,LA,09:53
387,8252.72,TOK,12:20
388,1055.66,LON,02:50
389,3324.78,LA,21:09
390,8122.76,TX,21:44
391,3133.62,CHI,07:07
392,9510.83,LA,07:25
393,1127.46,PAR,05:48
394,9092.6,LON,19:11
395,9439.95,PAR,01:56
396,2691.51,PAR,02:41
397,5767.53,TX,19:59
398,8072,TX,10:49
399,7806.64,LA,20:04
400,2176.53,MUM,01:16
401,3463.4,LA,04:16
402,8359.69,CHI,00:00
403,9344.04,PAR,16:44
404,8104.79,PAR,10:05
405,4483.55,TX,23:58
406,2987.29,TX,20:25
407,4032.29,PAR,13:58
408,9471.75,CHI,22:40
409,6102.86,CHI,10:29
410,5869.76,TOK,22:13
411,8478.22,CHI,07:44
412,994.762,LA,22:03
413,4965.24,PAR,02:25
414,4537.17,TOK,14:11
415,8690.51,CHI,12:22
416,3792.21,TOK,16:27
417,9498.82,LA,09:37
418,3337.58,TOK,14:31
419,2565.85,PAR,06:22
420,9053.26,MUM,08:41
421,3303.6,LON,07:30
422,3185.89,LA,02:36
423,6624.48,LA,16:08
424,2658.21,LON,09:29
425,1158.16,CHI,15:30
426,5754.7,NY,23:44
427,1820.63,TOK,04:18
428,2566.06,PAR,04:08
429,99.5273,LA,21:40
430,4539.82,CHI,11:47
431,6976.32,CHI,13:31
432,8366.82,LON,15:24
433,6341.28,NY,06:53
434,6614.71,MUM,03:40
435,8473.21,TOK,06:02
436,6856.3,PAR,13:02
437,5508.58,PAR,14:36
438,909.899,TX,06:45
439,904.498,PAR,17:42
440,5599.77,TX,09:06
441,7097.9,TX,16:37
442,1681.9,TX,16:59
443,8084.59,PAR,15:23
444,2943.84,LA,01:46
445,1048.31,MUM,21:20
446,8781.09,NY,12:55
447,7794.05,LON,09:47
448,7860.4,PAR,02:06
449,4925.69,PAR,09:42
450,2314.51,LA,06:15
451,4113.24,LA,04:49
452,498.668,MUM,17:07
453,6779.42,TOK,22:49
454,502.026,LA,00:17
455,9652.31,TX,15:12
456,4942.1,LA,23:36
457,8034.01,NY,09:03
458,383.311,TOK,04:53
459,9386.37,LA,19:38
460,248.353,PAR,05:57
461,2869.73,TX,01:07
462,9494.64,CHI,12:35
463,3699.69,CHI,10:20
464,4857.62,LA,15:27
465,3361.26,LON,10:23
466,5157.1,TX,07:34
467,2427.53,PAR,19:39
468,769.682,NY,20:52
469,2136.98,LA,07:02
470,443.712,NY,13:26
471,7990.06,TOK,15:26
472,2205.49,MUM,02:51
473,4215.77,CHI,08:05
474,7660.96,TX,22:28
475,8691.49,PAR,19:31
476,7489.25,NY,02:37
477,2231.1,LA,08:28
478,8793.11,LON,08:43
479,6376.84,CHI,03:32
480,3946.86,PAR,14:30
481,4349.66,NY,08:30
482,6976.33,LON,20:33
483,8411.94,NY,19:44
484,245.265,TOK,08:51
485,4436.64,PAR,13:02
486,4608.58,TX,10:57
487,5683,PAR,18:51
488,4599.98,MUM,20:54
489,8511.72,TOK,02:47
490,4297.92,LON,04:11
491,1500.83,TOK,19:21
492,528.887,MUM,15:01
493,9768.13,LA,20:53
494,3921.13,MUM,08:23
495,2049.41,NY,03:47
496,2393.99,TX,17:32
497,1857.85,TOK,09:01
498,9125.98,TX,10:55
499,6307.22,MUM,08:41
500,425.115,PAR,23:51
501,9037.46,CHI,14:38
502,4206.72,TOK,06:49
503,2434.32,TX,15:03
504,3527.38,LON,09:32
505,8239.83,CHI,11:27
506,4964.23,LON,09:31
507,9127.38,LON,22:42
508,1425.16,PAR,13:37
509,3984.74,TX,19:26
510,1695.03,LA,19:56
511,2063.36,PAR,08:14
512,3789.19,LON,14:13
513,5685.17,LA,18:42
514,6810.16,TOK,08:11
515,5590.67,TOK,20:35
516,488.805,MUM,08:05
517,2734.27,TOK,06:27
518,9933.68,LON,04:39
519,6271.2,PAR,10:09
520,8498.44,NY,16:21
521,8521.75,CHI,08:02
522,2322.83,MUM,15:58
523,1988.29,TX,13:56
524,1045.56,CHI,07:27
525,4481.01,LA,11:05
526,5063.41,PAR,17:22
527,1068.88,TOK,11:09
528,6959.12,MUM,23:21
529,3278.45,CHI,13:20
530,8981.6,LON,03:15
531,573.891,NY,09:01
532,1687.99,PAR,23:47
533,5372.15,NY,00:14
534,165.477,NY,10:37
535,9759.3,TOK,17:21
536,8335.35,LON,00:48
537,6318.04,LON,19:32
538,3883.87,TX,08:02
539,3385.27,MUM,16:25
540,1599.44,TX,21:55
541,1218.08,TX,20:14
542,1081.24,TX,14:57
543,5100.43,TOK,00:52
544,6679.66,TX,20:18
545,3650.26,MUM,01:08
546,8085.6,LON,18:51
547,9301.31,MUM,06:13
548,6695.09,PAR,21:04
549,7409.27,LON,08:13
550,5930.45,LON,18:04
551,7217.56,PAR,11:01
552,3166.88,TOK,12:57
553,2632.26,CHI,08:50
554,5093.84,LON,17:15
555,9525.59,MUM,16:15
556,3699.48,TOK,11:49
557,9169.21,LON,11:09
558,9737.92,MUM,02:41
559,7149.85,PAR,14:29
560,341.917,LA,15:28
561,9647.86,PAR,10:47
562,749.748,TX,02:22
563,9741.16,LA,13:06
564,1214.4,CHI,10:49
565,2571.03,LA,18:55
566,2386.94,MUM,15:16
567,1815.9,CHI,15:00
568,1643.48,TOK,03:46
569,3202.21,MUM,23:42
570,5729.71,NY,21:42
571,9549.33,CHI,04:42
572,4724.8,CHI,12:59
573,2809.62,CHI,02:55
574,4193.97,TX,17:44
575,2778.49,PAR,15:22
576,977.898,CHI,17:06
577,6841.02,TOK,11:04
578,9412.09,NY,08:21
579,3388.96,LON,00:59
580,8614.91,NY,00:54
581,6426.34,LA,09:55
582,8419.76,PAR,07:03
583,787.588,TX,20:18
584,5631.54,LA,19:07
585,6421.44,CHI,17:46
586,2263.76,TOK,17:50
587,7398.09,NY,21:56
588,3123.87,MUM,11:51
589,9434.71,CHI,11:04
590,6763.6,LA,01:34
591,9118.44,CHI,16:01
592,2701.69,MUM,08:06
593,5994.5,NY,21:53
594,8773.68,LA,21:30
595,4479.48,CHI,03:56
596,175.636,LA,05:44
597,6598.86,NY,14:04
598,6597.91,LON,17:08
599,183.874,CHI,10:06
600,3387.39,NY,19:45
601,6882.51,PAR,06:08
602,8243.84,TX,19:45
603,368.832,TX,18:01
604,1.25484,CHI,15:14
605,3914.52,MUM,22:48
606,8919.68,LA,06:22
607,2391.97,PAR,09:07
608,5716.62,LA,22:34
609,5832.9,PAR,16:39
610,539.911,LON,20:28
611,1011.34,LON,05:09
612,3930.48,PAR,14:10
613,7920.45,TX,09:10
614,3675.54,LA,23:26
615,3289.51,NY,04:14
616,1062.62,NY,21:45
617,3170.81,NY,23:00
618,4058.93,PAR,03:28
619,8765.62,TOK,10:59
620,2995.05,TOK,03:39
621,7494.29,TX,01:34
622,2010.34,TOK,13:47
623,2538.25,MUM,19:01
624,9662.05,NY,03:06
625,1411.82,PAR,03:31
626,4356.39,PAR,17:39
627,339.068,MUM,07:18
628,322.503,TOK,11:36
629,482.88,TX,21:16
630,7448.67,TOK,00:07
631,4295.88,TOK,21:01
632,7917.06,MUM,02:58
633,7825.14,TX,04:09
634,4007.19,LA,08:36
635,9922.65,PAR,16:22
636,855.512,PAR,00:05
637,4709.38,TX,22:57
638,3733.88,MUM,00:18
639,6575.12,LON,02:15
640,7710.92,NY,12:37
641,1598.87,LA,11:50
642,8952.26,CHI,06:15
643,830.133,LON,18:27
644,2712.38,NY,07:32
645,6922.1,PAR,14:24
646,808.93,PAR,15:22
647,9740.7,TOK,21:51
648,3967.1,LON,04:35
649,2368.98,CHI,12:52
650,1833.17,LA,15:29
651,3641.4,TX,17:10
652,6219.32,CHI,09:28
653,7032.58,PAR,04:21
654,8272.33,CHI,09:12
655,3906.63,TOK,12:35
656,223.096,PAR,01:47
657,6523.55,MUM,19:58
658,8854,CHI,19:54
659,788.576,CHI,18:12
660,6319.72,MUM,07:48
661,2338.78,PAR,07:12
662,4039.22,CHI,12:49
663,9397.39,TOK,10:39
664,6016.59,NY,10:02
665,756.489,LON,01:18
666,4992.53,NY,01:28
667,7387.54,PAR,16:32
668,2963.43,MUM,18:17
669,548.217,TOK,09:55
670,3695.82,LA,08:23
671,9267.29,LA,20:01
672,933.429,PAR,18:15
673,6118.34,NY,06:51
674,7352.65,CHI,09:02
675,922.775,MUM,11:16
676,974.088,TX,08:10
677,9548.77,PAR,15:38
678,6442.34,LA,20:22
679,3593.41,LON,00:15
680,6487.91,PAR,01:15
681,7983.39,MUM,05:03
682,390.505,LA,21:41
683,8012.01,LON,16:18
684,1922.52,CHI,06:39
685,2482.74,PAR,22:25
686,9029.86,PAR,22:04
687,2065.31,NY,20:31
688,4983.23,LON,19:46
689,4112.33,LA,16:30
690,4181.98,LON,14:04
691,6760.36,LON,08:30
692,3228.41,MUM,07:50
693,4755.37,NY,18:57
694,4420.3,TX,19:06
695,9912.03,MUM,00:37
696,6134.32,LA,14:08
697,8879.12,CHI,09:21
698,5143.9,NY,05:11
699,4810.67,PAR,00:01
700,7233.17,TX,17:06
701,918.569,LA,23:14
702,4935.99,TOK,17:52
703,1190.29,LA,05:30
704,3423.08,CHI,03:02
705,6906.66,TOK,06:33
706,213.975,TX,17:45
707,6155.2,CHI,05:07
708,3020.44,PAR,16:02
709,5163.79,NY,11:58
710,913.34,NY,02:47
711,4077.16,NY,09:37
712,1430.84,CHI,21:52
713,1160.24,TX,15:24
714,457.099,TX,13:07
715,7763.06,TOK,18:03
716,4593.14,PAR,01:26
717,4476.82,PAR,04:22
718,5413.08,PAR,04:24
719,342.813,LA,10:46
720,2098.29,TOK,02:12
721,5380.31,LON,08:30
722,9139.21,TX,15:07
723,6088.76,MUM,19:41
724,828.608,TX,16:28
725,8078.17,CHI,07:59
726,9246.52,MUM,23:08
727,8072.66,LA,12:30
728,6541.32,TOK,23:47
729,1158.66,PAR,09:43
730,1982.6,PAR,15:10
731,5794.71,MUM,13:13
732,956.561,TOK,13:24
733,8573.98,MUM,18:28
734,7419.94,LA,09:45
735,2852.4,LA,00:12
736,106.007,LON,11:00
737,4332.6,TOK,15:25
738,3301.44,NY,02:27
739,8233.24,MUM,17:12
740,1704.69,LA,21:22
741,1051.49,NY,02:46
742,4123.24,PAR,04:51
743,655.58,CHI,20:31
744,3476.88,LON,21:32
745,7868.08,LA,07:39
746,6558.9,NY,08:41
747,8307.68,NY,06:33
748,7293.61,TX,06:58
749,5070.81,MUM,08:10
750,3830.78,NY,13:19
751,3099.49,LON,23:12
752,6662.23,TX,21:49
753,7221.9,LON,02:20
754,3264.02,NY,02:14
755,1614.46,PAR,21:17
756,2246.36,PAR,18:55
757,2560.45,CHI,08:36
758,27.1922,TX,13:53
759,176.907,TOK,21:52
760,3664.64,LON,13:15
761,9539.1,NY,22:23
762,145.05,LON,15:14
763,7122.72,LON,07:00
764,6727.38,LON,15:51
765,3582.34,PAR,15:17
766,9795.05,PAR,02:32
767,8145.15,LON,23:20
768,4281.82,LA,12:20
769,6903.39,MUM,23:50
770,6076.34,LA,19:50
771,9867.69,NY,14:56
772,5412.22,LON,14:00
773,1171.5,MUM,17:25
774,9060.05,TOK,11:57
775,8980.04,TOK,18:47
776,3857.35,LA,07:30
777,8202.42,TOK,18:36
778,4440.95,TX,21:55
779,7340.93,NY,09:44
780,566.301,TOK,02:50
781,9316.87,PAR,06:21
782,353.156,TX,21:36
783,3018.17,CHI,10:00
784,6109.78,PAR,22:28
785,1763.14,NY,20:49
786,2514.41,TX,02:56
787,5153.74,TOK,14:37
788,9535.22,MUM,04:09
789,1267.5,CHI,14:24
790,327.883,TX,05:02
791,8674,LA,12:55
792,6173.27,PAR,16:44
793,2108.99,TX,04:24
794,2140.37,TOK,20:00
795,6166.52,LA,05:40
796,6499,PAR,21:23
797,2656.94,LA,21:38
798,8427.28,NY,01:01
799,1191.83,NY,05:07
800,2720.07,TX,17:31
801,8450.17,TOK,21:35
802,9722.79,PAR,23:05
803,4235.63,MUM,10:54
804,1654.9,MUM,06:38
805,908.878,LON,19:50
806,9962.77,LA,02:49
807,2731.02,NY,05:53
808,8327.57,CHI,18:50
809,9484.44,TOK,21:21
810,2439.05,PAR,02:26
811,2979.19,PAR,06:03
812,8653.69,TX,18:17
813,274.779,NY,16:53
814,8421.86,CHI,09:58
815,1388.93,TX,01:57
816,9954.5,TOK,07:42
817,6903.57,NY,21:30
818,2320.54,NY,12:27
819,1232.89,LON,00:18
820,6144.06,NY,16:21
821,5788.13,LON,13:40
822,1006.61,PAR,05:17
823,9456.12,CHI,12:08
824,6609.59,MUM,05:53
825,8116.9,NY,03:16
826,4764.38,MUM,18:49
827,7071.43,LON,14:10
828,6538.33,TOK,14:43
829,3072.9,MUM,09:32
830,5896.61,LON,16:30
831,8949.48,NY,13:04
832,7727.47,MUM,12:37
833,1020.56,LON,20:37
834,6934.92,MUM,01:01
835,5903.19,PAR,23:48
836,6502.31,MUM,20:00
837,3353.71,LA,08:19
838,973.154,TX,20:56
839,6403.84,CHI,19:13
840,8273.05,TX,06:29
841,2503.31,LON,18:44
842,8361.57,NY,07:33
843,233.67,LON,23:14
844,5615.16,LA,06:28
845,1735.42,TX,07:19
846,2243.88,MUM,04:11
847,3519.03,LON,03:07
848,4454.47,NY,14:45
849,3592.43,MUM,03:43
850,1365.5,MUM,12:48
851,9377.54,NY,12:02
852,999.785,LON,18:07
853,1970.69,MUM,21:51
854,238.712,MUM,19:52
855,6148.45,PAR,13:19
856,8828.42,LA,05:33
857,658.913,NY,22:23
858,2184.9,PAR,20:48
859,1191.35,LON,23:39
860,605.854,LA,11:09
861,7179.91,TOK,10:37
862,5418.12,PAR,03:29
863,3256.83,LA,20:44
864,7579.03,LON,10:14
865,6846.73,LON,11:02
866,7499.41,LON,23:34
867,2073.79,PAR,08:32
868,8764.32,LON,04:22
869,825.619,PAR,01:23
870,4431.09,MUM,17:10
871,6360.46,CHI,08:17
872,5720.41,CHI,03:58
873,4932.13,NY,05:25
874,3228.33,PAR,10:57
875,1510.32,LON,15:03
876,7750.45,LON,14:22
877,3892.9,PAR,16:41
878,3960.59,NY,13:49
879,5562.06,MUM,04:42
880,4098.18,LON,20:40
881,3814.45,LA,11:30
882,5394.22,MUM,23:28
883,232.139,CHI,15:39
884,5712.22,TOK,21:44
885,1678.99,TX,12:02
886,6893.61,MUM,07:45
887,3566.85,LON,18:37
888,4300.19,PAR,00:06
889,8409.17,NY,03:56
890,7163.29,CHI,23:58
891,3816.26,LON,05:48
892,1753.6,LA,18:53
893,5026.68,TOK,15:28
894,5556.63,TX,14:17
895,8699.49,CHI,16:11
896,3537.19,LON,09:56
897,3664.67,TX,16:02
898,8954.49,TX,19:43
899,9514.85,TX,06:34
900,8940.69,CHI,21:04
901,2127.83,MUM,04:36
902,7174.16,PAR,10:17
903,4312.04,LA,13:50
904,1700,NY,04:54
905,8916.67,NY,21:14
906,5621.67,TOK,05:21
907,4818.15,LA,10:34
908,6951.3,MUM,22:25
909,6618.89,MUM,07:03
910,205.401,MUM,07:44
911,8583.35,NY,12:06
912,3843.22,TX,04:51
913,4520.98,NY,04:57
914,2205.94,LA,15:52
915,9022.3,TX,16:19
916,239.029,NY,22:06
917,6613.76,CHI,06:28
918,1357.95,CHI,23:33
919,5943.96,CHI,08:48
920,4231.06,MUM,09:37
921,9044.83,LON,12:48
922,8225.45,LA,22:11
923,9050.78,TOK,18:59
924,7941.76,TX,19:06
925,8257.03,NY,12:11
926,5104.76,TX,08:40
927,8163.54,NY,04:39
928,7956.68,TOK,08:54
929,9561.52,TOK,22:39
930,3552.21,MUM,04:15
931,1263.73,MUM,23:40
932,7474.52,LON,05:42
933,8861.2,PAR,20:12
934,5550.21,LA,21:16
935,1706.59,MUM,21:30
936,5801.05,TX,07:27
937,3818.35,PAR,21:37
938,3729.57,CHI,08:58
939,5996.53,LON,09:50
940,4772.99,LON,10:35
941,2878.03,CHI,04:38
942,8193,LA,08:24
943,5650.77,TOK,14:03
944,1210.73,TX,12:42
945,789.945,NY,23:51
946,1127.96,MUM,18:21
947,2766.32,LON,07:47
948,3660.34,TOK,11:22
949,9415.74,CHI,07:28
950,6683.62,LON,18:48
951,4274.08,LON,04:08
952,6079.38,TOK,20:36
953,5716.38,PAR,06:54
954,5491.67,LON,21:21
955,7589.45,TX,15:22
956,1298.95,TOK,02:10
957,8790.94,TOK,18:25
958,5581.92,LA,14:05
959,476.825,NY,04:18
960,5216.28,PAR,11:39
961,2695.51,TOK,08:22
962,8523.37,TX,03:27
963,4704.65,TOK,14:53
964,7098.43,CHI,21:03
965,3288.05,LA,23:12
966,2201.06,NY,06:30
967,2345.74,TOK,00:42
968,4714.69,NY,16:53
969,5172.7,PAR,15:29
970,5393.11,TOK,00:49
971,3131.86,CHI,09:10
972,1305.51,LON,18:37
